docno,text,education,company,title,period,qid,score
27,"Developed a blockchain-based Decentralized Application (DApp) for music idol public voting in TV shows, features including ticket processing, voting, ranking board and shopping cart, etc. Deployed back-end smart contract to Ethereum Mainnet by Solidity and front-end display websites by Vue.js, and built interaction between them by Node.js.","[{""school"": ""Northeastern University"", ""degree"": ""Graduate"", ""major"": ""Computer Engineering"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Xi'an Jiaotong University"", ""degree"": ""Bachelor's degree"", ""major"": ""Computer Engineering (Youth Program)"", ""period"": ""2015 \u2013 2019""}]",Pohang University of Science and Technology Internship,Research Intern,Jun 2018 – Sep 2018,1,-1
28,Improved a training program of indoor activity recognition by faster-rcnn in Python. Increased person recognition rate of 11% by preprocessing the original data by resizing and histogram equalization. Decreased model false-negative by 29% using Non-Maximum Suppression (NMS) to streamline duplicate results.,"[{""school"": ""Northeastern University"", ""degree"": ""Graduate"", ""major"": ""Computer Engineering"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Xi'an Jiaotong University"", ""degree"": ""Bachelor's degree"", ""major"": ""Computer Engineering (Youth Program)"", ""period"": ""2015 \u2013 2019""}]",KDDI R&D Laboratories Inc. Internship,Algorithm Reseach Engineer,Jul 2017 – Aug 2017,1,-1
29,- Deployed Local Active Monitoring to supervise the activity of Microsoft 365 daemon and,"[{""school"": ""University of California, Los Angeles"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Science"", ""period"": ""2021""}, {""school"": ""University of Wisconsin-Madison"", ""degree"": ""Bachelor of Science - BS"", ""major"": ""Computer Science"", ""period"": ""2017 \u2013 2021""}]",Microsoft Internship,Software Engineer,Jun 2020 – Sep 2020,1,-1
30,logged the availability of Exchange Mailbox Replication service to disk.,"[{""school"": ""University of California, Los Angeles"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Science"", ""period"": ""2021""}, {""school"": ""University of Wisconsin-Madison"", ""degree"": ""Bachelor of Science - BS"", ""major"": ""Computer Science"", ""period"": ""2017 \u2013 2021""}]",Microsoft Internship,Software Engineer,Jun 2020 – Sep 2020,1,-1
31,- Collected 2.6 billion records of service disruption information on Azure and analyzed those records to construct a Power BI dashboard to showcase recent unhealthy clusters.,"[{""school"": ""University of California, Los Angeles"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Science"", ""period"": ""2021""}, {""school"": ""University of Wisconsin-Madison"", ""degree"": ""Bachelor of Science - BS"", ""major"": ""Computer Science"", ""period"": ""2017 \u2013 2021""}]",Microsoft Internship,Software Engineer,Jun 2020 – Sep 2020,1,-1
32,"- Automated ETL process with ADF task flow, which incrementally refreshes the intermediate data table on Azure Data Factory and reduces materialization time from 2 hours to 13 minutes.","[{""school"": ""University of California, Los Angeles"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Science"", ""period"": ""2021""}, {""school"": ""University of Wisconsin-Madison"", ""degree"": ""Bachelor of Science - BS"", ""major"": ""Computer Science"", ""period"": ""2017 \u2013 2021""}]",Microsoft Internship,Software Engineer,Jun 2020 – Sep 2020,1,1
33,- Developed a data visualization system for wearable medical devices with a team of 3.,"[{""school"": ""UC Irvine"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Engineering"", ""period"": ""2020 \u2013 2021""}, {""school"": ""UC Irvine"", ""degree"": ""Bachelor's degree"", ""major"": ""Computer Software Engineering"", ""period"": ""2014 \u2013 2019""}]",UCI Samueli School of Engineering Part-time,Software Developer,Mar 2019 – Sep 2019,1,-1
34,"- Implemented and tested a microservice application to process, monitoring and plotting pressure data","[{""school"": ""UC Irvine"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Engineering"", ""period"": ""2020 \u2013 2021""}, {""school"": ""UC Irvine"", ""degree"": ""Bachelor's degree"", ""major"": ""Computer Software Engineering"", ""period"": ""2014 \u2013 2019""}]",UCI Samueli School of Engineering Part-time,Software Developer,Mar 2019 – Sep 2019,1,-1
35,- Developed a multithreading data parsing algorithms dispatcher which could reduce task average waiting time by 30%.,"[{""school"": ""UC Irvine"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Engineering"", ""period"": ""2020 \u2013 2021""}, {""school"": ""UC Irvine"", ""degree"": ""Bachelor's degree"", ""major"": ""Computer Software Engineering"", ""period"": ""2014 \u2013 2019""}]",UCI Samueli School of Engineering Part-time,Software Developer,Mar 2019 – Sep 2019,1,-1
36,- Developed and tested a python client for users to interact with the device.,"[{""school"": ""UC Irvine"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Engineering"", ""period"": ""2020 \u2013 2021""}, {""school"": ""UC Irvine"", ""degree"": ""Bachelor's degree"", ""major"": ""Computer Software Engineering"", ""period"": ""2014 \u2013 2019""}]",UCI Samueli School of Engineering Part-time,Software Developer,Mar 2019 – Sep 2019,1,-1
37,- Analysis the data and solving the latency and accuracy issue with MATLAB and Python.,"[{""school"": ""UC Irvine"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Engineering"", ""period"": ""2020 \u2013 2021""}, {""school"": ""UC Irvine"", ""degree"": ""Bachelor's degree"", ""major"": ""Computer Software Engineering"", ""period"": ""2014 \u2013 2019""}]",UCI Samueli School of Engineering Part-time,Software Developer,Mar 2019 – Sep 2019,1,-1
38,- Interned at self-driving team and participated in testing and analyzing the performance of prediction modules. And implemented unifying and merging the outputs of independent perception modules.,"[{""school"": ""UC Irvine"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Engineering"", ""period"": ""2020 \u2013 2021""}, {""school"": ""UC Irvine"", ""degree"": ""Bachelor's degree"", ""major"": ""Computer Software Engineering"", ""period"": ""2014 \u2013 2019""}]",Tsinghua Unigroup Internship,Software Engineer Internship,Jun 2018 – Aug 2018,1,-1
39,- Wrote the internal documentation and implemented linting and formatting to improve code readability,"[{""school"": ""UC Irvine"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Engineering"", ""period"": ""2020 \u2013 2021""}, {""school"": ""UC Irvine"", ""degree"": ""Bachelor's degree"", ""major"": ""Computer Software Engineering"", ""period"": ""2014 \u2013 2019""}]",Tsinghua Unigroup Internship,Software Engineer Internship,Jun 2018 – Aug 2018,1,-1
40,"- Develop API’s authentication with Laravel to increase the security of user’s personal information (ex. name, phone number, etc)","[{""school"": ""Rice University"", ""degree"": ""Master's degree"", ""major"": ""Computer Science"", ""period"": ""2021""}, {""school"": ""\u570b\u7acb\u653f\u6cbb\u5927\u5b78"", ""degree"": ""Bachelor's degree"", ""major"": ""Department of Economics"", ""period"": ""2016 \u2013 2021""}]",Hi-Health,Data Analyst / Back-end Engineer,Feb 2020 – Feb 2021,1,-1
41,- Develop the authentication of logging in with apple id,"[{""school"": ""Rice University"", ""degree"": ""Master's degree"", ""major"": ""Computer Science"", ""period"": ""2021""}, {""school"": ""\u570b\u7acb\u653f\u6cbb\u5927\u5b78"", ""degree"": ""Bachelor's degree"", ""major"": ""Department of Economics"", ""period"": ""2016 \u2013 2021""}]",Hi-Health,Data Analyst / Back-end Engineer,Feb 2020 – Feb 2021,1,-1
42,- Research & build Siamese Network & Proto-typical Network with PyTorch,"[{""school"": ""Rice University"", ""degree"": ""Master's degree"", ""major"": ""Computer Science"", ""period"": ""2021""}, {""school"": ""\u570b\u7acb\u653f\u6cbb\u5927\u5b78"", ""degree"": ""Bachelor's degree"", ""major"": ""Department of Economics"", ""period"": ""2016 \u2013 2021""}]",Hi-Health,Data Analyst / Back-end Engineer,Feb 2020 – Feb 2021,1,-1
43,- Analyze the data of mobile phone’s Inertial Measurement Unit (IMU) sensors by visualizing them with Matplotlib to enhance the accuracy of the feedback on users’ movements given by our app,"[{""school"": ""Rice University"", ""degree"": ""Master's degree"", ""major"": ""Computer Science"", ""period"": ""2021""}, {""school"": ""\u570b\u7acb\u653f\u6cbb\u5927\u5b78"", ""degree"": ""Bachelor's degree"", ""major"": ""Department of Economics"", ""period"": ""2016 \u2013 2021""}]",Hi-Health,Data Analyst / Back-end Engineer,Feb 2020 – Feb 2021,1,1
44,- The goal of this research is to save the government’s expense on human resource doing field study of commodity’s market price to calculate the yearly CPI (Consumer Price Index) of Taiwan.,"[{""school"": ""Rice University"", ""degree"": ""Master's degree"", ""major"": ""Computer Science"", ""period"": ""2021""}, {""school"": ""\u570b\u7acb\u653f\u6cbb\u5927\u5b78"", ""degree"": ""Bachelor's degree"", ""major"": ""Department of Economics"", ""period"": ""2016 \u2013 2021""}]",National Taiwan University,"Research Assistant, Department of Economics",Oct 2019 – Feb 2020,1,-1
45,"- Use Random Forest model to label the unlabeled data in the database for inferring the formula of calculating the CPI of Taiwan from 100,000,000+ everyday electronic invoice data with Python & PostgreSQL","[{""school"": ""Rice University"", ""degree"": ""Master's degree"", ""major"": ""Computer Science"", ""period"": ""2021""}, {""school"": ""\u570b\u7acb\u653f\u6cbb\u5927\u5b78"", ""degree"": ""Bachelor's degree"", ""major"": ""Department of Economics"", ""period"": ""2016 \u2013 2021""}]",National Taiwan University,"Research Assistant, Department of Economics",Oct 2019 – Feb 2020,1,2
46,"- In result, produced the first prototype of the formula.","[{""school"": ""Rice University"", ""degree"": ""Master's degree"", ""major"": ""Computer Science"", ""period"": ""2021""}, {""school"": ""\u570b\u7acb\u653f\u6cbb\u5927\u5b78"", ""degree"": ""Bachelor's degree"", ""major"": ""Department of Economics"", ""period"": ""2016 \u2013 2021""}]",National Taiwan University,"Research Assistant, Department of Economics",Oct 2019 – Feb 2020,1,-1
47,"● Had meetings with Haier’s project managers, searched and demonstrated business solutions based on requirements, developed demos, and reached cooperation with Haier.","[{""school"": ""UC Irvine"", ""degree"": ""Master's degree"", ""major"": ""CS"", ""period"": ""2020 \u2013 2021""}, {""school"": ""University of California, Los Angeles"", ""degree"": ""Bachelor of Applied Science - BASc"", ""major"": ""Statistics"", ""period"": ""2016 \u2013 2018""}, {""school"": ""Irvine Valley College"", ""degree"": ""Bachelor's degree"", ""major"": ""Math"", ""period"": ""2014 \u2013 2016""}]",Brix Labs Full-time,Software Engineer,Jan 2020 – Jul 2020,1,-1
48,● Amazon web crawler demo for Haier: designed and developed web crawlers based on Python - Scrapy framework. Calculated the natural rank and ad rank of products with multiple specific keywords.,"[{""school"": ""UC Irvine"", ""degree"": ""Master's degree"", ""major"": ""CS"", ""period"": ""2020 \u2013 2021""}, {""school"": ""University of California, Los Angeles"", ""degree"": ""Bachelor of Applied Science - BASc"", ""major"": ""Statistics"", ""period"": ""2016 \u2013 2018""}, {""school"": ""Irvine Valley College"", ""degree"": ""Bachelor's degree"", ""major"": ""Math"", ""period"": ""2014 \u2013 2016""}]",Brix Labs Full-time,Software Engineer,Jan 2020 – Jul 2020,1,-1
49,Air Zebra Oversea Purchase Application,"[{""school"": ""UC Irvine"", ""degree"": ""Master's degree"", ""major"": ""CS"", ""period"": ""2020 \u2013 2021""}, {""school"": ""University of California, Los Angeles"", ""degree"": ""Bachelor of Applied Science - BASc"", ""major"": ""Statistics"", ""period"": ""2016 \u2013 2018""}, {""school"": ""Irvine Valley College"", ""degree"": ""Bachelor's degree"", ""major"": ""Math"", ""period"": ""2014 \u2013 2016""}]",Brix Labs Full-time,Software Engineer,Jan 2020 – Jul 2020,1,-1
50,"● Supervised a team of 5 engineers across 2 locations and 2 time zones; demonstrated solutions to Air Zebra, maintained daily meetings for reporting progress and managed schedules by using gitlabs.","[{""school"": ""UC Irvine"", ""degree"": ""Master's degree"", ""major"": ""CS"", ""period"": ""2020 \u2013 2021""}, {""school"": ""University of California, Los Angeles"", ""degree"": ""Bachelor of Applied Science - BASc"", ""major"": ""Statistics"", ""period"": ""2016 \u2013 2018""}, {""school"": ""Irvine Valley College"", ""degree"": ""Bachelor's degree"", ""major"": ""Math"", ""period"": ""2014 \u2013 2016""}]",Brix Labs Full-time,Software Engineer,Jan 2020 – Jul 2020,1,-1
51,"● Met 100% of deadlines and project goals and as a result, received remaining payment from Air Zebra.","[{""school"": ""UC Irvine"", ""degree"": ""Master's degree"", ""major"": ""CS"", ""period"": ""2020 \u2013 2021""}, {""school"": ""University of California, Los Angeles"", ""degree"": ""Bachelor of Applied Science - BASc"", ""major"": ""Statistics"", ""period"": ""2016 \u2013 2018""}, {""school"": ""Irvine Valley College"", ""degree"": ""Bachelor's degree"", ""major"": ""Math"", ""period"": ""2014 \u2013 2016""}]",Brix Labs Full-time,Software Engineer,Jan 2020 – Jul 2020,1,-1
52,"● Searched, designed, and developed a root-based Chinese chatbot based on Python - Rasa framework which aims to avoid repeated questions from customers, including greeting, checking/canceling orders, checking shpping, etc.","[{""school"": ""UC Irvine"", ""degree"": ""Master's degree"", ""major"": ""CS"", ""period"": ""2020 \u2013 2021""}, {""school"": ""University of California, Los Angeles"", ""degree"": ""Bachelor of Applied Science - BASc"", ""major"": ""Statistics"", ""period"": ""2016 \u2013 2018""}, {""school"": ""Irvine Valley College"", ""degree"": ""Bachelor's degree"", ""major"": ""Math"", ""period"": ""2014 \u2013 2016""}]",Brix Labs Full-time,Software Engineer,Jan 2020 – Jul 2020,1,-1
